image_path,sentiment
MVSA_Single/data/1.jpg,positive
MVSA_Single/data/2.jpg,positive
MVSA_Single/data/3.jpg,positive
MVSA_Single/data/4.jpg,positive
MVSA_Single/data/5.jpg,positive
MVSA_Single/data/6.jpg,positive
MVSA_Single/data/7.jpg,positive
MVSA_Single/data/8.jpg,positive
MVSA_Single/data/9.jpg,positive
MVSA_Single/data/10.jpg,negative
MVSA_Single/data/11.jpg,positive
MVSA_Single/data/12.jpg,positive
MVSA_Single/data/13.jpg,positive
MVSA_Single/data/14.jpg,positive
MVSA_Single/data/15.jpg,positive
MVSA_Single/data/16.jpg,positive
MVSA_Single/data/17.jpg,positive
MVSA_Single/data/18.jpg,positive
MVSA_Single/data/19.jpg,negative
MVSA_Single/data/20.jpg,positive
MVSA_Single/data/21.jpg,positive
MVSA_Single/data/22.jpg,negative
MVSA_Single/data/23.jpg,positive
MVSA_Single/data/24.jpg,neutral
MVSA_Single/data/25.jpg,neutral
MVSA_Single/data/26.jpg,neutral
MVSA_Single/data/27.jpg,neutral
MVSA_Single/data/28.jpg,positive
MVSA_Single/data/29.jpg,positive
MVSA_Single/data/30.jpg,negative
MVSA_Single/data/31.jpg,positive
MVSA_Single/data/32.jpg,positive
MVSA_Single/data/33.jpg,neutral
MVSA_Single/data/34.jpg,positive
MVSA_Single/data/35.jpg,positive
MVSA_Single/data/36.jpg,positive
MVSA_Single/data/37.jpg,negative
MVSA_Single/data/38.jpg,positive
MVSA_Single/data/39.jpg,neutral
MVSA_Single/data/40.jpg,positive
MVSA_Single/data/41.jpg,negative
MVSA_Single/data/42.jpg,positive
MVSA_Single/data/43.jpg,positive
MVSA_Single/data/44.jpg,positive
MVSA_Single/data/45.jpg,positive
MVSA_Single/data/46.jpg,neutral
MVSA_Single/data/47.jpg,positive
MVSA_Single/data/48.jpg,positive
MVSA_Single/data/49.jpg,positive
MVSA_Single/data/50.jpg,negative
MVSA_Single/data/51.jpg,neutral
MVSA_Single/data/52.jpg,negative
MVSA_Single/data/53.jpg,positive
MVSA_Single/data/54.jpg,positive
MVSA_Single/data/55.jpg,negative
MVSA_Single/data/56.jpg,neutral
MVSA_Single/data/57.jpg,neutral
MVSA_Single/data/58.jpg,positive
MVSA_Single/data/59.jpg,positive
MVSA_Single/data/60.jpg,positive
MVSA_Single/data/61.jpg,positive
MVSA_Single/data/62.jpg,neutral
MVSA_Single/data/63.jpg,positive
MVSA_Single/data/64.jpg,negative
MVSA_Single/data/65.jpg,positive
MVSA_Single/data/66.jpg,positive
MVSA_Single/data/67.jpg,positive
MVSA_Single/data/68.jpg,positive
MVSA_Single/data/69.jpg,negative
MVSA_Single/data/70.jpg,positive
MVSA_Single/data/71.jpg,positive
MVSA_Single/data/72.jpg,negative
MVSA_Single/data/73.jpg,neutral
MVSA_Single/data/74.jpg,neutral
MVSA_Single/data/75.jpg,negative
MVSA_Single/data/76.jpg,positive
MVSA_Single/data/77.jpg,positive
MVSA_Single/data/78.jpg,positive
MVSA_Single/data/79.jpg,positive
MVSA_Single/data/80.jpg,negative
MVSA_Single/data/81.jpg,positive
MVSA_Single/data/82.jpg,neutral
MVSA_Single/data/83.jpg,positive
MVSA_Single/data/84.jpg,neutral
MVSA_Single/data/85.jpg,neutral
MVSA_Single/data/86.jpg,neutral
MVSA_Single/data/87.jpg,negative
MVSA_Single/data/88.jpg,positive
MVSA_Single/data/89.jpg,positive
MVSA_Single/data/90.jpg,positive
MVSA_Single/data/91.jpg,positive
MVSA_Single/data/92.jpg,positive
MVSA_Single/data/93.jpg,negative
MVSA_Single/data/94.jpg,positive
MVSA_Single/data/95.jpg,positive
MVSA_Single/data/96.jpg,positive
MVSA_Single/data/97.jpg,negative
MVSA_Single/data/98.jpg,positive
MVSA_Single/data/99.jpg,positive
MVSA_Single/data/100.jpg,positive
MVSA_Single/data/101.jpg,positive
MVSA_Single/data/102.jpg,positive
MVSA_Single/data/103.jpg,positive
MVSA_Single/data/104.jpg,neutral
MVSA_Single/data/105.jpg,neutral
MVSA_Single/data/106.jpg,neutral
MVSA_Single/data/107.jpg,positive
MVSA_Single/data/108.jpg,neutral
MVSA_Single/data/109.jpg,positive
MVSA_Single/data/110.jpg,negative
MVSA_Single/data/111.jpg,positive
MVSA_Single/data/112.jpg,positive
MVSA_Single/data/113.jpg,positive
MVSA_Single/data/114.jpg,positive
MVSA_Single/data/115.jpg,positive
MVSA_Single/data/116.jpg,neutral
MVSA_Single/data/117.jpg,neutral
MVSA_Single/data/118.jpg,negative
MVSA_Single/data/119.jpg,negative
MVSA_Single/data/120.jpg,positive
MVSA_Single/data/121.jpg,positive
MVSA_Single/data/122.jpg,positive
MVSA_Single/data/123.jpg,positive
MVSA_Single/data/124.jpg,positive
MVSA_Single/data/125.jpg,positive
MVSA_Single/data/126.jpg,positive
MVSA_Single/data/127.jpg,neutral
MVSA_Single/data/128.jpg,neutral
MVSA_Single/data/129.jpg,positive
MVSA_Single/data/130.jpg,negative
MVSA_Single/data/131.jpg,negative
MVSA_Single/data/132.jpg,positive
MVSA_Single/data/133.jpg,positive
MVSA_Single/data/134.jpg,negative
MVSA_Single/data/135.jpg,positive
